47 178
1 3 21.1
1 5 156.2
1 6 623.1
1 7 152.2
1 8 115.0
1 13 153.6
2 3 1532.1
2 9 963.2
3 1 21.1
3 2 1532.1
3 4 215.2
3 6 221.3
3 7 152.2
3 9 1563.2
4 3 215.2
5 1 156.2
5 8 25.0
6 1 623.1
6 3 221.3
6 7 36.2
6 8 200.0
6 13 152.3
7 1 152.2
7 3 152.2
7 6 36.2
7 8 135.2
8 1 115.0
8 5 25.0
8 6 200.0
8 7 135.2
9 2 963.2
9 3 1563.2
9 10 1512.2
9 11 1236.2
9 12 5696.2
9 13 152.2
9 15 123.2
10 9 1512.2
10 11 152.2
10 12 25.2
10 13 2102.2
10 15 365.2
11 9 1236.2
11 10 152.2
11 12 36.3
11 13 252.2
11 15 203.5
12 9 5696.2
12 10 25.2
12 11 36.3
13 1 153.6
13 6 152.3
13 9 152.2
13 10 2102.2
13 11 252.2
13 14 1235.2
13 15 36.2
14 13 1235.2
14 15 152.2
14 16 965.0
15 9 123.2
15 10 365.2
15 11 203.5
15 13 36.2
15 14 152.2
15 16 65.3
15 22 200.0
15 23 152.2
16 14 965.0
16 15 65.3
16 23 36.3
16 24 142.0
17 18 269.0
17 19 15.0
18 17 269.0
18 19 563.2
19 17 15.0
19 18 563.2
20 21 265.0
20 22 251.2
21 20 265.0
21 22 1256.2
21 25 210.0
21 27 124.0
22 15 200.0
22 20 251.2
22 21 1256.2
22 23 265.0
22 25 362.0
22 27 36.5
22 28 251.0
22 29 96.0
23 15 152.2
23 16 36.3
23 22 265.0
23 28 145.0
23 29 452.0
23 30 152.2
24 16 142.0
25 21 210.0
25 22 362.0
25 26 124.5
25 27 251.0
26 25 124.5
26 27 21.2
26 36 25.1
27 21 124.0
27 22 36.5
27 25 251.0
27 26 21.2
27 28 36.5
28 22 251.0
28 23 145.0
28 27 36.5
28 29 155.5
28 30 59.2
28 34 158.0
28 36 36.5
29 22 96.0
29 23 452.0
29 28 155.5
29 30 36.5
29 34 157.0
29 36 362.0
30 23 152.2
30 28 59.2
30 29 36.5
30 31 125.0
31 30 125.0
31 32 265.0
32 31 265.0
33 36 369.0
34 28 158.0
34 29 157.0
34 35 259.0
34 36 157.0
35 34 259.0
35 36 149.0
36 26 25.1
36 28 36.5
36 29 362.0
36 33 369.0
36 34 157.0
36 35 149.0
37 38 365.5
37 39 162.0
38 37 365.5
38 39 195.0
39 37 162.0
39 38 195.0
39 41 126.0
40 43 163.5
40 45 159.0
41 39 126.0
41 42 26.5
41 43 195.5
41 44 136.2
42 41 26.5
42 43 165.5
42 44 423.0
43 40 163.5
43 41 195.5
43 42 165.5
43 44 243.0
43 45 369.0
44 41 136.2
44 42 423.0
44 43 243.0
44 45 365.2
45 40 159.0
45 43 369.0
45 44 365.2
45 46 15.2
46 45 15.2
46 47 16.2
47 46 16.2
